number,id,delta,x_coord,y_coord
87,881f8d7a4bfffff,3,48.13600382891192,11.590698174917748
88,881f8d45d9fffff,-1,48.152065100694166,11.5275669706048
89,881f8d7a23fffff,2,48.09202091924211,11.597079895529872
90,881f8d4687fffff,1,48.212066356144604,11.560006819309654
91,881f8d45d3fffff,-8,48.14277012181348,11.542650733342144
92,881f8d448bfffff,-3,48.17235478418202,11.587377464135853
93,881f8d44d3fffff,2,48.184182385402295,11.605280483597006
94,881f8d7a49fffff,29,48.13769746656352,11.578686174256928
95,881f8d7b59fffff,-1,48.098798290462675,11.54905976679551
96,881f8d45c1fffff,-3,48.1419087261289,11.49767975159776
97,881f8d45d1fffff,-1,48.14445825454431,11.530639110242307
98,881f8d4519fffff,4,48.14695456224632,11.46164973273529
99,881f8d4583fffff,3,48.1233211499521,11.527843887224641
100,881f8d45a3fffff,1,48.10386688064298,11.513045667213
101,881f8d46b5fffff,-2,48.196861052953956,11.566149734284938
102,881f8d7139fffff,-1,48.14524994478907,11.677623079185906
103,881f8d459bfffff,5,48.13347148438736,11.557731767010726
104,881f8d44b3fffff,-5,48.14783489187475,11.608593316888639
105,881f8d4589fffff,4,48.1326167673331,11.512763181570648
106,881f8d4487fffff,11,48.15883203697873,11.581496860720776
107,881f8d4439fffff,2,48.168960774507916,11.509406057103668
108,881f8d716bfffff,1,48.157964614706756,11.638512446351246
109,881f8d7115fffff,1,48.15115980152836,11.68658111006169
110,881f8d716dfffff,1,48.15374908091991,11.617543527073796
111,881f8d44a3fffff,16,48.145307077855826,11.575618525805401
112,881f8d09e9fffff,2,48.26611296726438,11.583541845835637
113,881f8d4481fffff,-3,48.16643964038822,11.578428596102853
114,881f8d7ac1fffff,1,48.11819775414677,11.665831267859527
115,881f8d7165fffff,2,48.14613850564874,11.620607838535928
116,881f8d4411fffff,3,48.1807988108339,11.527289842397433
117,881f8d09cdfffff,1,48.27961907089486,11.589431287299584
118,881f8d45c7fffff,-1,48.13430215588494,11.500754095292859
119,881f8d4495fffff,3,48.163053761779,11.602461864889957
120,881f8d44bdfffff,-2,48.15122353381248,11.584564545297987
121,881f8d7a01fffff,2,48.113167527778394,11.599894272712767
122,881f8d44a7fffff,2,48.13938972788797,11.566674266404188
123,881f8d4e1bfffff,-1,48.103787844476024,11.411171247284697
124,881f8d7a09fffff,-11,48.12078052709256,11.596829486136716
125,881f8d45abfffff,1,48.11147704824165,11.509973644368742
126,881f8d44edfffff,2,48.16559003540524,11.533435940443317
127,881f8d7127fffff,-1,48.127514993516,11.65075953342155
128,881f8d0997fffff,-2,48.25596375205509,11.65573951714791
129,881f8d45b7fffff,-2,48.100489195485,11.537054970230477
130,881f8d45b1fffff,-7,48.108100745926414,11.533985188989634
131,881f8d4585fffff,3,48.119086316765525,11.506901041531686
132,881f8d46bdfffff,1,48.20446415495254,11.563078567258744
133,881f8d44e1fffff,3,48.163902600924395,11.545451027896307
134,881f8d7ae3fffff,1,48.09705099193116,11.662997358228806
135,881f8d44e3fffff,-8,48.162213789736434,11.557466211130619
136,881f8d44c1fffff,1,48.1833416383644,11.560271582286138
137,881f8d785dfffff,1,48.08100669894484,11.624151858643069
138,881f8d7a5bfffff,-5,48.13852703106853,11.623671570529018
139,881f8d7a6bfffff,-3,48.11655757134033,11.575877102733896
140,881f8d458dfffff,2,48.126694686038576,11.503827858555281
141,881f8d7957fffff,-1,48.03024769901488,11.576651650301878
142,881f8d7a2bfffff,2,48.099635923815455,11.594015723326768
143,881f8d4407fffff,1,48.170644079261784,11.497391263327964
144,881f8d712bfffff,1,48.14104108518251,11.656651934218406
145,881f8d7a63fffff,-4,48.10894505449001,11.57894355576328
146,881f8d0935fffff,-1,48.25006384390873,11.544639360568132
147,881f8d4491fffff,1,48.1689675328325,11.61141316515499
148,881f8d46cbfffff,1,48.242466149362095,11.547714015340203
149,881f8d4e9dfffff,-4,48.087778158752236,11.474254277028244
150,881f8d7a91fffff,1,48.10375464294961,11.716931867599628
151,881f8d7a67fffff,2,48.103025978638485,11.570003228094832
152,881f8d4537fffff,-2,48.11228703476392,11.453024151120754
153,88754e6499fffff,-1,48.26188862790714,11.562550833619467
154,881f8d0987fffff,3,48.25344473873152,11.622708789779951
155,881f8d442bfffff,-2,48.164723037491946,11.488453236449
156,881f8d4eddfffff,-5,48.10467942788614,11.45610119237931
157,881f8d7133fffff,-1,48.13593127072077,11.692696803842264
158,881f8d7ad3fffff,1,48.1189917404722,11.710823053878965
159,881f8d7b4bfffff,2,48.094566967610454,11.528120592499192
160,881f8d44b7fffff,3,48.14191980771269,11.599644866197417
161,881f8d45b5fffff,2,48.10217872552338,11.525050270018696
162,881f8d46b3fffff,1,48.20108518783136,11.587123083990544
163,881f8d449dfffff,-1,48.17066184719236,11.59939526910723
164,881f8d4ec9fffff,-1,48.10803925245255,11.432095541907383
165,881f8d440bfffff,-1,48.184166782174,11.503255468207184
166,881f8d6349fffff,2,48.113861264972954,11.746862149020561
167,881f8d45ddfffff,3,48.146145011207615,11.51862758416949
168,881f8d451bfffff,1,48.14527399246284,11.47365963736424
169,881f8d4737fffff,1,48.16551509126238,11.431468598844837
170,881f8d44b9fffff,-4,48.157139095279604,11.593512324965182
171,881f8d4555fffff,-1,48.15031157538254,11.437630233723318
172,881f8d7225fffff,-2,48.22385160525666,11.6800252741018
173,881f8d780dfffff,-1,48.0615519200919,11.609330797191385
174,881f8d7b5bfffff,1,48.09710601039158,11.561064658660895
175,881f8d720dfffff,1,48.25087051407191,11.691839532674996
176,881f8d7a1bfffff,2,48.12160155099956,11.64180853352067
177,881f8d7a13fffff,1,48.1139866895517,11.644869403610546
178,881f8d7a19fffff,-2,48.123301384684936,11.629797296695502
179,881f8d7859fffff,1,48.086923450351065,11.633095952194063
180,881f8d7367fffff,1,48.197700708509664,11.611167969624837
181,881f8d7843fffff,-2,48.07508905421961,11.615209521124166
182,881f8d7a99fffff,-1,48.111373640781466,11.713877749755282
183,881f8d7ad9fffff,1,48.128315657085466,11.695753782736379
184,881f8d44ebfffff,2,48.16982001071107,11.554395698922317
185,881f8d452bfffff,-4,48.12325079661531,11.425936404008018
186,881f8d44cdfffff,-4,48.18502975214666,11.548252932948529
187,881f8d46a1fffff,1,48.20023589173112,11.542107843918524
188,881f8d454bfffff,1,48.159589534041395,11.422538995101165
189,881f8d46a7fffff,1,48.19263327225766,11.545180678889082
190,881f8d78c9fffff,1,48.07248683715746,11.684174316835936
191,881f8d7125fffff,2,48.12921551375772,11.638747084544077
192,881f8d45c9fffff,1,48.14951439659495,11.494604827323256
193,881f8d0937fffff,1,48.24837919971705,11.556668324864651
194,881f8d4431fffff,3,48.161356420139576,11.512480480149243
195,881f8d449bfffff,1,48.17488040796212,11.620366225842599
196,881f8d45e7fffff,1,48.114847850466006,11.485962494736153
197,881f8d4541fffff,1,48.15366308706327,11.41361115539894
198,881f8d7803fffff,1,48.05814946289521,11.633332432645535
199,881f8d4433fffff,3,48.15967104698595,11.5244942505154
200,881f8d441dfffff,2,48.18248348496105,11.515272606067217
201,881f8d40b1fffff,1,48.13161937893288,11.365912966202588
202,881f8d7811fffff,1,48.062362862047834,11.654277051947874
203,881f8d7121fffff,1,48.13512874741627,11.647698630358096
204,881f8d7b5dfffff,1,48.09287674632625,11.540124171905646
205,881f8d7805fffff,-2,48.05393242597561,11.612392076551217
206,881f8d7325fffff,2,48.182488074965214,11.617300720547608
207,881f8d4e97fffff,1,48.07848173895472,11.489328184912988
208,881f8d4435fffff,2,48.15543585443018,11.503541772676552
209,881f8d7305fffff,1,48.20191706414469,11.632148222515882
210,881f8d44bbfffff,2,48.15544477661462,11.605527880768125
211,881f8d7acdfffff,1,48.11990034084092,11.653819857593614
212,881f8d7329fffff,1,48.1960064016128,11.623190548136334
213,881f8d7809fffff,-1,48.06747066534773,11.6182708349385
214,881f8d7a03fffff,2,48.11147044220926,11.611902994569501
215,881f8d4e91fffff,1,48.086093426640694,11.486255122010865
216,881f8d4691fffff,-2,48.22220376051104,11.589938623560142
217,881f8d4493fffff,1,48.16727184103862,11.623431151222713
218,881f8d44d9fffff,1,48.19348070317387,11.590192000861668
219,881f8d7a57fffff,2,48.124999841959635,11.617786148172861
220,881f8d45a1fffff,1,48.10555366090934,11.501041162866146
221,881f8d4499fffff,1,48.17657540912292,11.608347114404383
222,881f8d45a9fffff,1,48.11316313683225,11.497968019652417
223,881f8d4e93fffff,1,48.08440732038221,11.498256067743938
224,881f8d453dfffff,1,48.121572956764226,11.437941414130522
225,881f8d733dfffff,-1,48.192613653028324,11.647235971259573
226,881f8d099dfffff,-1,48.265259048603426,11.640639514543881
227,881f8d4547fffff,1,48.146061364624394,11.416693339519048
228,881f8d454dfffff,1,48.15533678002865,11.401601776629281
229,881f8d46b1fffff,1,48.20277536038468,11.575100778983037
230,881f8d7b03fffff,1,48.07003400831157,11.54932830100187
231,881f8d4681fffff,-1,48.21966765635575,11.55693449029049
232,881f8d44e9fffff,1,48.171508130427,11.542379392324534
233,881f8d7847fffff,-1,48.06917051665395,11.606268939555724
234,881f8d713bfffff,1,48.14354598559379,11.689639246333007
235,881f8d4415fffff,1,48.17488023929447,11.51834706839352
236,881f8d731dfffff,-1,48.21203794612903,11.66209516681914
237,881f8d7145fffff,2,48.16557477174721,11.635449226253867
238,881f8d4531fffff,2,48.119893742291225,11.44994652931732
239,881f8d4ecbfffff,-1,48.10636002731161,11.444098314901076
240,881f8d091dfffff,1,48.277080471218454,11.556401955790484
241,881f8d4427fffff,1,48.15119702545145,11.482593598658903
242,881f8d7327fffff,-1,48.18079238668984,11.629321047034802
243,881f8d4ed9fffff,-2,48.11060575324888,11.46502825110557
244,881f8d782bfffff,1,48.04631203448259,11.615452777781579
245,881f8d7b41fffff,1,48.08864384892604,11.519187973509325
246,881f8d7357fffff,1,48.219643663714805,11.659031815073215
247,881f8d45c5fffff,1,48.135986168905816,11.488745108627821
248,881f8d45e9fffff,1,48.13006272067876,11.479812227182087
249,881f8d46bbfffff,1,48.208688771862704,11.584053586479577
250,881f8d71c7fffff,-1,48.15194861999734,11.731596902392319
251,881f8d7a65fffff,4,48.10471894299635,11.557997120174152
252,881f8d732dfffff,1,48.19009484187273,11.614234635190712
253,881f8d4549fffff,0,48.16126390909494,11.410528389722415
254,881f8d714dfffff,1,48.173184029133374,11.632385426530742
255,881f8d0993fffff,1,48.26186907846208,11.664708193549611
256,881f8d7a53fffff,2,48.13091465735525,11.626734723199943
257,881f8d7b57fffff,-3,48.08357111154339,11.555195348681458
258,881f8d71c3fffff,1,48.157854614283366,11.740562074578198
259,881f8d706dfffff,1,48.19512330081348,11.680244271054098
260,881f8d4457fffff,1,48.19008583006937,11.512197562701413
261,881f8d44ddfffff,4,48.18756687301715,11.581240282533894
262,881f8d4509fffff,1,48.14438560338257,11.428701706377986
263,881f8d4501fffff,1,48.1367822877519,11.43178219003718
264,881f8d4ecdfffff,1,48.10211067485369,11.423172690377482
265,881f8d7addfffff,1,48.12240517230342,11.686797394702744
266,881f8d7a2dfffff,1,48.095412355207195,11.573069644773756
267,881f8d7ac3fffff,-1,48.11649379085517,11.677842763263568
268,881f8d7819fffff,1,48.06998332001747,11.651219106575777
269,881f8d7b2dfffff,-1,48.05395241349198,11.510540365762628
270,881f8d46b7fffff,1,48.19517156697177,11.578170821075622
271,881f8d4735fffff,1,48.16719014871951,11.419456767190066
272,881f8d78cdfffff,1,48.066572621254885,11.675225930161035
273,881f8d7b51fffff,1,48.09118515022804,11.552127847377816
274,881f8d7a35fffff,1,48.09032313833408,11.609085158067066
275,881f8d0953fffff,1,48.290585454386566,11.562286663906498
276,881f8d45bdfffff,2,48.10978958462828,11.521979367832166
277,881f8d46e3fffff,1,48.21543842806726,11.535960430655674
278,881f8d4497fffff,1,48.16135875670637,11.614478635995814
279,881f8d7841fffff,-1,48.076788215484434,11.603206503497885
280,881f8d7a3bfffff,1,48.10215670219851,11.626973766923365
281,881f8d0911fffff,-3,48.27539583631627,11.568435615910854
282,881f8d091bfffff,-1,48.28130577375774,11.57739631249532
283,881f8d443bfffff,3,48.167276093244446,11.521420949827252
284,881f8d4543fffff,1,48.15198801887076,11.42562064144822
285,881f8d458bfffff,2,48.13093000318419,11.524772366407305
286,881f8d7169fffff,1,48.15966237437007,11.626495496834968
287,881f8d724dfffff,3,48.26777350414099,11.673678633570525
288,881f8d0913fffff,2,48.27370982160377,11.580469370080394
289,881f8d7323fffff,1,48.18670346853783,11.638277628813329
290,881f8d71e7fffff,-1,48.132517841369356,11.716727132814965
291,881f8d71e5fffff,1,48.13422524472355,11.704711927443519
292,881f8d7b01fffff,-2,48.07172630278834,11.537328083169326
293,881f8d7a93fffff,1,48.10204448385902,11.728942566638041
294,881f8d7853fffff,-1,48.0776028804442,11.648160583201129
295,881f8d7b25fffff,1,48.04633644171922,11.513609992147886
296,881f8d7361fffff,1,48.20530567470112,11.6081007237028
297,881f8d7919fffff,0,48.02854920407143,11.588646454810489
298,881f8d7141fffff,2,48.171486272573404,11.644404715411978
299,881f8d4425fffff,-1,48.15287827850536,11.47058247123968
